Overconfidence Predictions for densenet on security using deep_ensemble:

Sample     Pred       Confidence      Uncertainty    
3156       1          1.0000          10395.9111     
3159       1          1.0000          18001.6641     
3197       1          1.0000          12959844.0000  
3229       1          1.0000          5377605.5000   
3238       1          1.0000          179536.8438    
3241       1          1.0000          86700.1016     
3269       1          1.0000          54643.5547     
3297       1          1.0000          456133.8750    
3345       1          1.0000          86266.0625     
3361       1          1.0000          18002.5820     
3372       1          1.0000          10557.7012     
3384       1          1.0000          18001.9043     
3389       1          1.0000          10521.9277     
3391       1          1.0000          8853.1094      
3406       1          1.0000          18002.9238     
3409       1          1.0000          6685.2676      
3413       1          1.0000          9377.9014      
3422       1          1.0000          6303.4683      
3424       1          1.0000          11223.3330     
3427       1          1.0000          10523.1846     
3437       1          1.0000          10562.5762     
3441       1          1.0000          11684.4707     
3443       1          1.0000          18002.9121     
3447       1          1.0000          12822.2266     
3452       1          1.0000          10562.5693     
3466       1          1.0000          44085.8789     
3484       1          1.0000          78267.0391     
3516       1          1.0000          61158.0781     
3534       1          1.0000          10772158.0000  
3568       1          1.0000          18002.3008     
3576       1          1.0000          39887.3242     
3608       1          1.0000          614593984.0000 
3616       1          1.0000          10422.9023     
3619       1          1.0000          10564.0820     
3639       1          1.0000          17998.4434     
3649       1          1.0000          6685.2715      
3652       1          1.0000          7177.0068      
3666       1          1.0000          9347.9141      
3674       1          1.0000          10563.3984     
3677       1          1.0000          10750.7871     
3692       1          1.0000          100530.6406    
3705       1          1.0000          86711.6016     
3713       1          1.0000          9348.3848      
3721       1          1.0000          10238.3203     
3727       1          1.0000          17998.5312     
3730       1          1.0000          10536.0352     
3732       1          1.0000          11684.6133     
3743       1          1.0000          10536.0352     
3759       1          1.0000          75307120.0000  
3777       1          1.0000          5561.1709      
3794       1          1.0000          10523.1846     
3795       1          1.0000          5791.3916      
3796       1          1.0000          9347.0410      
3798       1          1.0000          7944.5972      
3801       1          1.0000          8011.1157      
3809       1          1.0000          10557.0195     
3817       1          1.0000          16719.2012     
3831       0          1.0000          16304.1133     
3833       1          1.0000          9569.7666      
3840       1          1.0000          3860.0796      
3847       1          1.0000          7498.2109      
3859       1          1.0000          9852.6172      
3864       1          1.0000          6685.2646      
3880       1          1.0000          614594688.0000 
2321       1          1.0000          18003.0430     
